tweets,likes,time
"Know yourself and you will win all battles.

—Sun Tzu, The Art of War",1,2021-07-08 03:31:45
@m0mentarymaster They missed the art of war by Sun Tzu. 😏,0,2021-07-08 03:29:13
"Know yourself and you will win all battles.

—Sun Tzu, The Art of War",0,2021-07-08 03:01:59
"people love to read the art of war in bad translation, to learn strategy and such",11,2021-07-08 02:54:45
Might fuck about and make the Shitposters version of The Art of War.,0,2021-07-08 02:44:38
Mastered the art of war. Now I’m studying patience. 📚,0,2021-07-08 02:41:18
Men who can only talk about 48 laws of power &amp; The art of war https://t.co/ovxJqNr395,6,2021-07-08 02:34:43
"In 500 B.C. , Sun Tzu devotes attention to intelligence gathering in the “Art of War”. He argues that all wars are based on deception.!
- Logically, that would mean that if we don’t deceive each other, then war would be unnecessary!",0,2021-07-08 02:32:16
"Know yourself and you will win all battles.

—Sun Tzu, The Art of War",0,2021-07-08 02:29:20
"Treat your men as you would your own beloved sons. And they will follow you into the deepest valley.
Sun Tzu, The Art of War",1,2021-07-08 02:11:09
"@such_it The need to define all military matters into binaries is the reason for this debate. We call it the “ART OF WAR” but want to quantify intangibles which are “INTANGIBLE” 

In the Afghan context the conflict is being looked at again in a Binary view but in reality it’s much complex",1,2021-07-08 02:05:54
Dah lama dah nak ada buku The Art of War ni huhuhu. https://t.co/Uo58TkWBno,6,2021-07-08 01:47:45
"Sun Tzu  wrote The Art of War 2600 years ago. His bedrock truth was: know thy enemy.

We could have saved trillions and thousands of US lives. Just my opinion. 6/end",87,2021-07-08 01:41:50
"@ianrw @CCTakato This pronunciation smack of someone who sincerely tried to study the language, could never find someone to practice with, but tried their damnedest anyhow. This man studied Japanese history because he liked military history and The Art of War and collected porcelains. I &lt;3 him",2,2021-07-08 01:37:53
"Dont ever think you're fooling me, i read too many books about the art of war for you to think that shit.",0,2021-07-08 01:35:55
"Know yourself and you will win all battles.

—Sun Tzu, The Art of War",827,2021-07-08 01:22:46
@kar_n_twitts The Art of War,0,2021-07-08 01:19:12
@thenwchica Indeed! The Art of War is in strategy. Yunki-approved. ✨💜,1,2021-07-08 01:14:18
"@ravelingout I was surprised that “The Art of War” is not on here, but then I was like, Probably too ethnic for this bunch.",2,2021-07-08 01:10:47
"@MasculineTheory The Art Of War, The Book of 5 Rings and the Rational Male",0,2021-07-08 01:06:28
I'm listening to The Art of War on my Audible app. Try Audible and get it here: https://t.co/C2BzjRsJOL https://t.co/EmtZaimfXm,1,2021-07-08 00:46:15
"@MasculineTheory - The Art of War
- The Republic
- Thus Spoke Zarathustra
- The Prize (Daniel Yergin)

One of those or Confessions by St. Augustine.",2,2021-07-08 00:14:58
Donald Trump Praises Hitler and his favorite book is The Art of War. F*** that guy,0,2021-07-08 00:10:16
"“It is the unemotional, reserved, calm, detached warrior who wins, not the hothead seeking vengeance and not the ambitious seeker of fortune.” - The Art of War",4,2021-07-08 00:00:39
"How should the United States respond to today’s security crises? @MichaelEOHanlon explains in his new book, The Art of War in an Age of Peace: U.S. Grand Strategy and Resolute Restraint. 

Get the book here: https://t.co/bOc442dJmY https://t.co/tM8zsLh4gw",5,2021-07-07 23:42:00
@mmodiba10 Your analogy that it will happen to malema well one thing I can tell you about those eff guys they can master the art of war they are not politically bankrupt like the ret clowns.,0,2021-07-07 23:14:03
@SoKaleidoscope @kcarruthers The Art of War is necessary reading when you work at Amazon.,2,2021-07-07 22:56:09
"The Art of War.  Don’t reveal your battle plan to your enemy, your enemy will counter you at every turn. #AMC #DOGE  #HODL",46,2021-07-07 22:54:23
"@TomthunkitsMind Chinese leaders
-are strategic and pragmatic
 (no knee-jerk wars)
- plan long term
- are unified on the plan
- hold their cards close to their chest
- are persistent in pursuing their goals
- use “The Art of War” (not at all a screed)
-exploit naive US companies &amp; politicians",0,2021-07-07 22:52:52
"To #AMC Apes.  You guys should read Sun Tzu The Art of War.  A lot of you are openly revealing your battle plan to your enemy and for that, your enemy will counter you at every turn.",0,2021-07-07 22:52:31
"Which book should I start next?

A. Zen and the Art of Motorcycle Maintenance

B. The Art of War",1,2021-07-07 22:50:24
@italeoo Plant dad soft boi tweeting about the art of war. Abuse apologist and victim shaming. Shocker.,0,2021-07-07 22:34:16
"@Meredith_blkwel @martha_speaks__ In “The Art of War” Sun Tzu says if you know yourself and know your enemy, you need not fear the result of a hundred battles.

Querying is not war, but you need to know who your target audience is. If they like humor, demonstrate yours. (1 of 2)",1,2021-07-07 22:33:17
@EscanorNew 💥💥👊👊 The art of war!,6,2021-07-07 22:11:43
"@AfroBloggers me I have read the art of war to success, the world as I see OT by Albert Einstein and be the leading in motivation by Jim rohn.",2,2021-07-07 22:10:03
"@CoruscaKhaya The wise warrior avoids the battle.
―Sun Tzu, The Art of War",20,2021-07-07 22:04:25
"@Tactical_review Someone tell her to read “The Art of War”, then enlist, or try for a commission if she has a degree, which I doubt, then, to shut up and learn.",0,2021-07-07 21:53:16
