tweets,likes,time
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 05:27:36
cr: the song of achilles; a thread ☁️ https://t.co/KjrJnhDJXI,2,2021-07-09 05:24:38
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 05:15:13
"@literarybase belum pernah baca kudasai, tapi the song of achilles bagus bangett🥺🥺🥺",0,2021-07-09 05:13:47
"@cataaalina7 (the song of Achilles!) It’s about Greek mythology but focuses it on two characters, and has a bit of romance. The poetic writing is beautiful! 😭",0,2021-07-09 05:13:40
finished reading the song of achilles https://t.co/AO7z2Bzvjb,7,2021-07-09 05:09:28
"@passionatelouie all the bright places, the song of achilles, we were liars",1,2021-07-09 05:07:42
@subtlemeanings the song of achilles will always be my go to 😭😭 cried my eyes out reading it .... also fangirl by rainbow rowell,0,2021-07-09 05:04:57
started reading the song of achilles tonight i love it sm already,0,2021-07-09 05:01:01
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 05:00:36
@literarybase The song of achilles,0,2021-07-09 04:57:44
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:56:53
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:56:05
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:49:54
@literarybase the song of achilles,0,2021-07-09 04:48:41
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 04:45:19
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 04:37:25
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 04:36:06
@literarybase THE SONG OF ACHILLES,0,2021-07-09 04:35:31
A week ago someone came through the drive thru reading the Song of Achilles and I think I saw them again today my coworker let me talk to them but I chickened out lol,0,2021-07-09 04:22:26
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:20:57
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:16:09
"RT @ladyoforien: “I could recognize him by touch alone, by smell; I would know him blind, by the way his breaths came and his feet struck t…",0,2021-07-09 04:15:22
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:14:46
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 04:12:01
"east of eden, midnight's children, slaughterhouse five, the song of achilles, the mahabharata, the city we became, 4321, the kitchen god's wife, a suitable boy, american gods, how to be alone, the power broker, a little life, cadillac desert, the spy who came in from the cold...",2,2021-07-09 04:09:54
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 04:03:23
the song of achilles by madeline miller thread! quickly became one of my favorites. https://t.co/qDDIUEUPLB,1,2021-07-09 04:01:12
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:53:10
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:48:33
RT @meganlmaoXD: POV: it’s 2am and you just finished the song of Achilles https://t.co/f0nDfaKd3N,0,2021-07-09 03:46:39
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:46:13
THE SONG OF ACHILLES. https://t.co/r1bsUdqltW,0,2021-07-09 03:40:27
Sarah stop rereading The Song of Achilles for the hundredth time and actually pick up another book challenge: failed,2,2021-07-09 03:40:20
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 03:30:36
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:30:31
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:29:59
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:28:51
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:26:26
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 03:24:12
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:22:45
i want to buy a new copy of the song of achilles just to paint scenes from the book on certain pages,3,2021-07-09 03:19:37
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:07:22
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 03:03:41
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 03:01:23
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 03:00:15
"So I recently finished the main story of the Hades game, and then read The Song of Achilles, and I honestly am broken from both of them 😭I haven’t read a book in years and TSOA completely stole my heart. Hoping to create more Patrochilles and... https://t.co/S0TYf3VOjy",0,2021-07-09 02:58:54
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 02:57:59
okay but if i read anyone the song of achilles ur gonna hear me squeal at the super gay parts,1,2021-07-09 02:55:23
"📷 He is half of my soul, as the poets say. — Madeline Miller, The Song of Achilles https://t.co/EYXjkPESDA",0,2021-07-09 02:55:17
"my tbr aka chaos:
- the inheritance games
- percy jackson and the olympians
- the song of achilles
- the cruel prince
- a feast for crows
- a dance with dragons
- twoiaf
- fire and blood
- the seven husbands of evelyn hugo
- the book thief",4,2021-07-09 02:50:29
how are people re-reading the song of achilles…you guys wanna cry that badly?,0,2021-07-09 02:38:58
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 02:31:38
i’m abt to cry about the song of achilles again,0,2021-07-09 02:31:13
RT @fairytalellie: bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fan…,0,2021-07-09 02:29:01
"bookworm via reads greek mythology retellings– including the song of achilles. is not really sure what to feel about fantasy romance. favorite author is probably colleen hoover and she constantly rereads it ends with us, ugly love, &amp; all your perfects.",56,2021-07-09 02:27:16
"RT @copydagger: louis tomlinson as quotes in the song of achilles 

(reposted!) https://t.co/3VIQbpoZQ7",0,2021-07-09 02:26:34
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 02:21:05
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 02:09:15
"RT @iKissieCardan: hey guys i’m mel!! i’m 17 and my pronouns are she/her. i’m new to #booktwt and i’m looking for mutuals!

some of my favo…",0,2021-07-09 02:04:56
"@ouiouiprigent The Song of Achilles, a retelling of the Iliad by Homer through the eyes of Patroclus who develops a young coming-of-age gay relationship with Achilles.",0,2021-07-09 02:03:01
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 02:02:06
